City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Muros,ES,42.7762,-9.0603,65.08,91,25,2.26,scattered clouds
81,Severo-Kurilsk,RU,50.6789,156.125,46.22,92,100,3.96,overcast clouds
82,Saldanha,ZA,-33.0117,17.9442,56.19,70,5,12.8,clear sky
83,Hermanus,ZA,-34.4187,19.2345,48.79,70,34,10.09,light rain
84,Hithadhoo,MV,-0.6,73.0833,82.67,69,55,4.21,broken clouds
85,Lagos,NG,6.5833,3.75,82.72,89,100,5.17,overcast clouds
86,Sinnamary,GF,5.3833,-52.95,80.24,75,71,8.43,broken clouds
87,Lebu,CL,-37.6167,-73.65,51.4,92,99,14.45,light rain
88,Zhaoqing,CN,23.0512,112.4597,77.83,98,100,1.3,overcast clouds
89,Punta Arenas,CL,-53.15,-70.9167,37.51,87,0,8.05,clear sky
90,Tomatlan,MX,19.9333,-105.25,96.26,41,24,14.79,few clouds
91,Mahebourg,MU,-20.4081,57.7,71.26,88,75,13.8,broken clouds
92,Yeniseysk,RU,58.4497,92.1703,59.83,95,14,4.18,few clouds
93,Bengkulu,ID,-3.8004,102.2655,74.77,89,39,3.91,scattered clouds
94,Mirabad,AF,30.4362,61.8383,97.47,11,26,5.19,scattered clouds
95,Chermoz,RU,58.787,56.1489,55.78,81,100,5.39,overcast clouds
96,Fortuna,US,40.5982,-124.1573,64.92,64,0,13.8,clear sky
97,Anloga,GH,5.7947,0.8973,80.92,82,97,17.67,overcast clouds
98,Wanning,CN,18.8003,110.3967,80.29,92,100,10.36,overcast clouds
99,Kodinsk,RU,58.6881,99.1844,63.57,74,61,3.53,broken clouds
100,Preobrazheniye,RU,42.9019,133.9064,54.93,81,100,6.85,overcast clouds
101,Longyearbyen,SJ,78.2186,15.6401,40.84,70,75,14.97,broken clouds
102,Takaungu,KE,-3.6837,39.8566,77.43,82,1,14.88,clear sky
103,Jamestown,US,42.097,-79.2353,82.53,62,3,6.22,clear sky
104,Bongandanga,CD,1.5,21.05,73.69,77,82,1.54,broken clouds
105,Port Macquarie,AU,-31.4333,152.9167,42.89,81,0,5.66,clear sky
106,Baykit,RU,61.67,96.37,58.08,84,66,1.97,broken clouds
107,Tulum,MX,20.2167,-87.4667,85.71,64,97,10.65,overcast clouds
108,El Alto,PE,-4.2714,-81.2147,69.46,73,12,19.13,few clouds
109,Amapa,BR,1.0,-52.0,78.22,77,87,2.73,overcast clouds
110,Alofi,NU,-19.0595,-169.9187,80.49,69,40,11.5,scattered clouds
111,Quatre Cocos,MU,-20.2078,57.7625,71.1,70,96,16.71,light rain
112,Bluff,NZ,-46.6,168.3333,45.81,72,100,30.4,overcast clouds
113,Calvinia,ZA,-31.4707,19.776,42.3,92,62,9.66,broken clouds
114,San Patricio,US,28.017,-97.5169,96.19,50,97,23.02,overcast clouds
115,Coahuayana,MX,18.7333,-103.6833,89.44,56,100,8.95,overcast clouds
116,Saint-Augustin,CA,51.226,-58.6502,65.17,44,83,9.75,broken clouds
117,Torbay,CA,47.6666,-52.7314,45.28,90,100,10.36,overcast clouds
118,Kahului,US,20.8947,-156.47,86.02,59,20,24.16,few clouds
119,Kharan,PK,28.5833,65.4167,90.9,15,0,7.09,clear sky
120,Kruisfontein,ZA,-34.0033,24.7314,56.88,67,47,26.93,light rain
121,Karasjok,NO,69.4719,25.5112,45.32,84,100,8.21,overcast clouds
122,Souillac,MU,-20.5167,57.5167,70.18,88,75,13.8,broken clouds
123,Waipawa,NZ,-41.4122,175.5153,50.77,65,8,19.15,clear sky
124,Codrington,AU,-38.2667,141.9667,51.85,71,100,19.6,moderate rain
125,Norman Wells,CA,65.282,-126.8329,57.24,54,75,16.11,broken clouds
126,Bilma,NE,18.6853,12.9164,93.22,24,77,4.21,broken clouds
127,Cidreira,BR,-30.1811,-50.2056,61.95,86,0,13.8,clear sky
128,Saint George,US,37.1041,-113.5841,89.44,9,0,6.91,clear sky
129,Geraldton,AU,-28.7667,114.6,50.41,87,0,12.66,clear sky
130,Buraydah,SA,26.326,43.975,93.65,10,0,8.23,clear sky
131,Marsh Harbour,BS,26.5412,-77.0636,82.0,75,18,11.39,few clouds
132,Oksfjord,NO,70.2396,22.3479,46.58,88,98,5.66,overcast clouds
133,Klaksvik,FO,62.2266,-6.589,50.92,99,96,11.41,overcast clouds
134,Lat Yao,TH,15.751,99.7893,80.55,76,97,8.19,overcast clouds
135,Ondangwa,NA,-17.9167,15.95,48.2,40,1,0.0,clear sky
136,Tabou,CI,4.423,-7.3528,77.59,82,100,8.75,light rain
137,Thompson,CA,55.7435,-97.8558,82.56,32,75,13.8,broken clouds
138,Santiago Del Estero,AR,-27.7951,-64.2615,71.6,20,5,7.11,clear sky
139,Labuhan,ID,-6.8844,112.2051,77.52,89,87,8.03,overcast clouds
140,Marystown,CA,47.1666,-55.1483,53.85,100,100,5.99,overcast clouds
141,Mar Del Plata,AR,-38.0023,-57.5575,57.09,70,0,4.61,clear sky
142,Magadan,RU,59.5667,150.8,44.1,85,100,4.36,overcast clouds
143,Plettenberg Bay,ZA,-34.0527,23.3716,55.44,73,89,18.95,light rain
144,Sitka,US,57.0531,-135.33,55.29,58,75,3.44,broken clouds
145,Haines Junction,CA,60.7522,-137.5108,51.75,76,100,3.44,overcast clouds
146,Saskylakh,RU,71.9167,114.0833,42.89,59,10,12.82,clear sky
147,Sobolevo,RU,54.4299,31.8996,52.3,73,34,15.95,scattered clouds
148,Chapais,CA,49.7834,-74.8492,74.98,55,98,6.89,overcast clouds
149,Aklavik,CA,68.2191,-135.0107,59.72,39,0,7.02,clear sky
150,Requena,ES,39.4883,-1.1004,72.79,54,100,6.06,overcast clouds
151,Kachiry,KZ,53.0675,76.1036,59.76,72,53,5.73,broken clouds
152,Chifeng,CN,42.2683,118.9636,57.06,89,53,2.37,broken clouds
153,Meulaboh,ID,4.1363,96.1285,74.98,92,95,3.44,overcast clouds
154,Salinopolis,BR,-0.6136,-47.3561,79.95,80,30,12.21,scattered clouds
155,Mildura,AU,-34.2,142.15,48.07,81,95,15.41,overcast clouds
156,Namtsy,RU,62.7161,129.6658,52.25,92,100,4.59,overcast clouds
157,Batouri,CM,4.4333,14.3667,68.86,96,100,1.72,light rain
158,Daru,PG,-9.0763,143.2092,78.03,89,27,13.6,scattered clouds
159,Palana,RU,59.1167,159.9667,43.09,75,1,2.17,clear sky
160,Tiarei,PF,-17.5333,-149.3333,84.22,74,20,23.11,few clouds
161,East London,ZA,-33.0153,27.9116,64.85,38,0,19.19,clear sky
