City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
587,Luderitz,61,NA,2022-06-13 21:58:58,92,-26.6481,15.1594,58.82,13.62
588,Suez,0,EG,2022-06-13 21:55:18,70,29.9737,32.5263,73.87,5.17
589,Savelugu,20,GH,2022-06-13 21:58:59,50,9.6244,-0.8253,85.12,5.23
590,Sao Felix Do Xingu,88,BR,2022-06-13 21:58:59,94,-6.6447,-51.995,74.32,0.2
591,Martinsville,0,US,2022-06-13 21:59:00,58,36.6915,-79.8725,93.49,6.91
592,Glenwood Springs,0,US,2022-06-13 21:54:44,15,39.5505,-107.3248,88.41,26.46
593,Kshenskiy,3,RU,2022-06-13 21:59:00,85,51.8408,37.7136,60.89,3.33
594,Buchanan,55,LR,2022-06-13 21:59:01,78,5.8808,-10.0467,78.12,9.19
595,Kanina,12,CD,2022-06-13 21:59:01,57,-10.7341,25.4699,57.58,4.12
596,Laguna,0,US,2022-06-13 21:59:02,18,38.421,-121.4238,84.29,5.99
